cve_id,cve_href,cwe_id,vuln_type,publish_date,update_date,score,acces_level,access,complexity,authentication,confidentiality,integrity,availability,summary,refs,code_refs,source
CVE-2020-15721,https://www.cvedetails.com/cve/CVE-2020-15721/,CWE-79,XSS,2020-07-14,2020-07-22,4.3,None,Remote,Medium,Not required,None,Partial,None,RosarioSIS through 6.8-beta allows modules/Custom/NotifyParents.php XSS because of the href attributes for AddStudents.php and User.php.,"{'https://gitlab.com/francoisjacquet/rosariosis/-/blob/mobile/CHANGES.md', 'https://gitlab.com/francoisjacquet/rosariosis/-/issues/291', 'https://gitlab.com/francoisjacquet/rosariosis/-/commit/c4a694860b50c4aa5c67d6568f7d0613fef1a30d'}",{'https://gitlab.com/francoisjacquet/rosariosis/-/commit/c4a694860b50c4aa5c67d6568f7d0613fef1a30d'},gitlab
CVE-2020-15718,https://www.cvedetails.com/cve/CVE-2020-15718/,CWE-79,XSS,2020-07-15,2020-07-22,4.3,None,Remote,Medium,Not required,None,Partial,None,"RosarioSIS 6.7.2 is vulnerable to XSS, caused by improper validation of user-supplied input by the PrintSchedules.php script. A remote attacker could exploit this vulnerability using the include_inactive parameter in a crafted URL.","{'https://gitlab.com/francoisjacquet/rosariosis/-/tags/v6.8-beta', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/184944', 'https://gitlab.com/francoisjacquet/rosariosis/-/issues/291', 'https://gitlab.com/francoisjacquet/rosariosis/-/commit/89ae9de732024e3a2e99262aa98b400a1aa6975a', 'https://gitlab.com/francoisjacquet/rosariosis/-/blob/mobile/CHANGES.md'}",{'https://gitlab.com/francoisjacquet/rosariosis/-/commit/89ae9de732024e3a2e99262aa98b400a1aa6975a'},gitlab
CVE-2020-15717,https://www.cvedetails.com/cve/CVE-2020-15717/,CWE-79,XSS,2020-07-15,2020-07-22,4.3,None,Remote,Medium,Not required,None,Partial,None,"RosarioSIS 6.7.2 is vulnerable to XSS, caused by improper validation of user-supplied input by the Search.inc.php script. A remote attacker could exploit this vulnerability using the advanced parameter in a crafted URL.","{'https://gitlab.com/francoisjacquet/rosariosis/-/tags/v6.8-beta', 'https://gitlab.com/francoisjacquet/rosariosis/-/issues/291', 'https://gitlab.com/francoisjacquet/rosariosis/-/commit/89ae9de732024e3a2e99262aa98b400a1aa6975a', 'https://gitlab.com/francoisjacquet/rosariosis/-/blob/mobile/CHANGES.md', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/184943'}",{'https://gitlab.com/francoisjacquet/rosariosis/-/commit/89ae9de732024e3a2e99262aa98b400a1aa6975a'},gitlab
CVE-2020-15716,https://www.cvedetails.com/cve/CVE-2020-15716/,CWE-79,XSS,2020-07-15,2020-07-22,4.3,None,Remote,Medium,Not required,None,Partial,None,"RosarioSIS 6.7.2 is vulnerable to XSS, caused by improper validation of user-supplied input by the Preferences.php script. A remote attacker could exploit this vulnerability using the tab parameter in a crafted URL.","{'https://gitlab.com/francoisjacquet/rosariosis/-/tags/v6.8-beta', 'https://gitlab.com/francoisjacquet/rosariosis/-/issues/291', 'https://gitlab.com/francoisjacquet/rosariosis/-/commit/89ae9de732024e3a2e99262aa98b400a1aa6975a', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/184942', 'https://gitlab.com/francoisjacquet/rosariosis/-/blob/mobile/CHANGES.md'}",{'https://gitlab.com/francoisjacquet/rosariosis/-/commit/89ae9de732024e3a2e99262aa98b400a1aa6975a'},gitlab
CVE-2020-14928,https://www.cvedetails.com/cve/CVE-2020-14928/,CWE-74,,2020-07-17,2020-08-14,4.3,None,Remote,Medium,Not required,None,Partial,None,"evolution-data-server (eds) through 3.36.3 has a STARTTLS buffering issue that affects SMTP and POP3. When a server sends a ""begin TLS"" response, eds reads additional data and evaluates it in a TLS context, aka ""response injection.""","{'https://gitlab.gnome.org/GNOME/evolution-data-server/-/issues/226', 'https://gitlab.gnome.org/GNOME/evolution-data-server/-/commit/f404f33fb01b23903c2bbb16791c7907e457fbac', 'https://www.debian.org/security/2020/dsa-4725', 'https://bugzilla.suse.com/show_bug.cgi?id=1173910', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QMBEZWA22EAYAZQWUX4KPEBER726KSIG/', 'https://usn.ubuntu.com/4429-1/', 'https://security-tracker.debian.org/tracker/DSA-4725-1', 'https://lists.debian.org/debian-lts-announce/2020/07/msg00012.html', 'https://gitlab.gnome.org/GNOME//evolution-data-server/commit/ba82be72cfd427b5d72ff21f929b3a6d8529c4df', 'https://security-tracker.debian.org/tracker/DLA-2281-1'}","{'https://gitlab.gnome.org/GNOME/evolution-data-server/-/commit/f404f33fb01b23903c2bbb16791c7907e457fbac', 'https://gitlab.gnome.org/GNOME//evolution-data-server/commit/ba82be72cfd427b5d72ff21f929b3a6d8529c4df'}",gitlab
CVE-2020-13278,https://www.cvedetails.com/cve/CVE-2020-13278/,CWE-79,XSS,2020-08-12,2020-08-17,4.3,None,Remote,Medium,Not required,None,Partial,None,Reflected Cross-Site Scripting vulnerability in Modules.php in RosarioSIS Student Information System < 6.5.1 allows remote attackers to execute arbitrary web script via embedding javascript or HTML tags in a GET request.,"{'https://gitlab.com/gitlab-org/cves/-/blob/master/2020/CVE-2020-13278.json', 'https://gitlab.com/francoisjacquet/rosariosis/-/issues/282', 'https://gitlab.com/francoisjacquet/rosariosis/-/commit/9cb4fec5fe177f1d3716708b46d1958eac477ebe'}",{'https://gitlab.com/francoisjacquet/rosariosis/-/commit/9cb4fec5fe177f1d3716708b46d1958eac477ebe'},gitlab
CVE-2020-12707,https://www.cvedetails.com/cve/CVE-2020-12707/,CWE-79,XSS,2020-05-07,2020-05-08,4.3,None,Remote,Medium,Not required,None,Partial,None,An XSS vulnerability exists in modules/wysiwyg/save.php of LeptonCMS 4.5.0. This can be exploited because the only security measure used against XSS is the stripping of SCRIPT elements. A malicious actor can use HTML event handlers to run JavaScript instead of using SCRIPT elements.,{'https://gitlab.com/lepton-cms/LEPTON/-/commit/52215f708395a329c9e17ea33bfc6762d4efccbb'},{'https://gitlab.com/lepton-cms/LEPTON/-/commit/52215f708395a329c9e17ea33bfc6762d4efccbb'},gitlab
CVE-2020-11736,https://www.cvedetails.com/cve/CVE-2020-11736/,CWE-22,Dir. Trav.,2020-04-13,2021-07-21,3.3,None,Local,Medium,Not required,None,Partial,Partial,fr-archive-libarchive.c in GNOME file-roller through 3.36.1 allows Directory Traversal during extraction because it lacks a check of whether a file's parent is a symlink to a directory outside of the intended extraction location.,"{'https://usn.ubuntu.com/4332-2/', 'https://lists.debian.org/debian-lts-announce/2020/04/msg00013.html', 'https://security.gentoo.org/glsa/202009-06', 'https://gitlab.gnome.org/GNOME/file-roller/-/commit/21dfcdbfe258984db89fb65243a1a888924e45a0', 'https://usn.ubuntu.com/4332-1/'}",{'https://gitlab.gnome.org/GNOME/file-roller/-/commit/21dfcdbfe258984db89fb65243a1a888924e45a0'},gitlab
CVE-2020-11501,https://www.cvedetails.com/cve/CVE-2020-11501/,CWE-327,,2020-04-03,2021-07-21,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"GnuTLS 3.6.x before 3.6.13 uses incorrect cryptography for DTLS. The earliest affected version is 3.6.3 (2018-07-16) because of an error in a 2017-10-06 commit. The DTLS client always uses 32 '\0' bytes instead of a random value, and thus contributes no randomness to a DTLS negotiation. This breaks the security guarantees of the DTLS protocol.","{'https://gitlab.com/gnutls/gnutls/-/issues/960', 'https://www.gnutls.org/security-new.html#GNUTLS-SA-2020-03-31', 'https://security.gentoo.org/glsa/202004-06', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/ILMOWPKMTZAIMK5F32TUMO34XCABUCFJ/', 'https://security.netapp.com/advisory/ntap-20200416-0002/', 'https://usn.ubuntu.com/4322-1/', 'https://gitlab.com/gnutls/gnutls/-/commit/5b595e8e52653f6c5726a4cdd8fddeb6e83804d2', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WDYY3R4F5CUTFAMXH2C5NKYFVDEJLTT7/', 'https://www.debian.org/security/2020/dsa-4652', 'http://lists.opensuse.org/opensuse-security-announce/2020-04/msg00015.html'}",{'https://gitlab.com/gnutls/gnutls/-/commit/5b595e8e52653f6c5726a4cdd8fddeb6e83804d2'},gitlab
CVE-2020-8608,https://www.cvedetails.com/cve/CVE-2020-8608/,CWE-120,Overflow,2020-02-06,2021-02-14,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"In libslirp 4.1.0, as used in QEMU 4.2.0, tcp_subr.c misuses snprintf return values, leading to a buffer overflow in later code.","{'https://lists.debian.org/debian-lts-announce/2020/03/msg00017.html', 'https://www.debian.org/security/2020/dsa-4733', 'https://gitlab.freedesktop.org/slirp/libslirp/-/tags/v4.1.0', 'https://usn.ubuntu.com/4283-1/', 'https://gitlab.freedesktop.org/slirp/libslirp/commit/68ccb8021a838066f0951d4b2817eb6b6f10a843', 'https://www.openwall.com/lists/oss-security/2020/02/06/2', 'https://security.gentoo.org/glsa/202003-66', 'https://security.netapp.com/advisory/ntap-20201001-0002/', 'https://lists.debian.org/debian-lts-announce/2021/02/msg00012.html', 'http://lists.opensuse.org/opensuse-security-announce/2020-04/msg00007.html', 'https://lists.debian.org/debian-lts-announce/2020/07/msg00020.html', 'https://lists.debian.org/debian-lts-announce/2020/03/msg00015.html'}",{'https://gitlab.freedesktop.org/slirp/libslirp/commit/68ccb8021a838066f0951d4b2817eb6b6f10a843'},gitlab
CVE-2020-8003,https://www.cvedetails.com/cve/CVE-2020-8003/,CWE-415,DoS,2020-01-27,2020-01-27,2.1,None,Local,Low,Not required,None,None,Partial,"A double-free vulnerability in vrend_renderer.c in virglrenderer through 0.8.1 allows attackers to cause a denial of service by triggering texture allocation failure, because vrend_renderer_resource_allocated_texture is not an appropriate place for a free.","{'https://gitlab.freedesktop.org/virgl/virglrenderer/merge_requests/340/diffs?commit_id=3320973c9f2068f60cf6613c2811a8824781878a', 'https://gitlab.freedesktop.org/virgl/virglrenderer/merge_requests/340/diffs?commit_id=f9b079ccc319c98499111f66bd654fc9b56cf15f', 'https://gitlab.freedesktop.org/virgl/virglrenderer/commit/f9b079ccc319c98499111f66bd654fc9b56cf15f?merge_request_iid=340', 'https://gitlab.freedesktop.org/virgl/virglrenderer/merge_requests/340'}",{'https://gitlab.freedesktop.org/virgl/virglrenderer/commit/f9b079ccc319c98499111f66bd654fc9b56cf15f?merge_request_iid=340'},gitlab
CVE-2020-7595,https://www.cvedetails.com/cve/CVE-2020-7595/,CWE-835,,2020-01-21,2021-04-21,5.0,None,Remote,Low,Not required,None,None,Partial,xmlStringLenDecodeEntities in parser.c in libxml2 2.9.10 has an infinite loop in a certain end-of-file situation.,"{'https://www.oracle.com/security-alerts/cpujul2020.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/545SPOI3ZPPNPX4TFRIVE4JVRTJRKULL/', 'https://usn.ubuntu.com/4274-1/', 'https://security.gentoo.org/glsa/202010-04', 'https://us-cert.cisa.gov/ics/advisories/icsa-21-103-08', 'https://cert-portal.siemens.com/productcert/pdf/ssa-292794.pdf', 'http://lists.opensuse.org/opensuse-security-announce/2020-05/msg00047.html', 'https://security.netapp.com/advisory/ntap-20200702-0005/', 'https://gitlab.gnome.org/GNOME/libxml2/commit/0e1a49c89076', 'https://lists.debian.org/debian-lts-announce/2020/09/msg00009.html', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/5R55ZR52RMBX24TQTWHCIWKJVRV6YAWI/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JDPF3AAVKUAKDYFMFKSIQSVVS3EEFPQH/'}",{'https://gitlab.gnome.org/GNOME/libxml2/commit/0e1a49c89076'},gitlab
CVE-2020-7211,https://www.cvedetails.com/cve/CVE-2020-7211/,CWE-22,Dir. Trav.,2020-01-21,2020-01-23,5.0,None,Remote,Low,Not required,Partial,None,None,"tftp.c in libslirp 4.1.0, as used in QEMU 4.2.0, does not prevent ..\ directory traversal on Windows.","{'https://gitlab.freedesktop.org/slirp/libslirp/commit/14ec36e107a8c9af7d0a80c3571fe39b291ff1d4', 'https://security-tracker.debian.org/tracker/CVE-2020-7211', 'https://www.openwall.com/lists/oss-security/2020/01/17/2'}",{'https://gitlab.freedesktop.org/slirp/libslirp/commit/14ec36e107a8c9af7d0a80c3571fe39b291ff1d4'},gitlab
CVE-2020-7039,https://www.cvedetails.com/cve/CVE-2020-7039/,CWE-787,Exec Code Overflow,2020-01-16,2021-02-14,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"tcp_emu in tcp_subr.c in libslirp 4.1.0, as used in QEMU 4.2.0, mismanages memory, as demonstrated by IRC DCC commands in EMU_IRC. This can cause a heap-based buffer overflow or other out-of-bounds access which can lead to a DoS or potential execute arbitrary code.","{'https://lists.debian.org/debian-lts-announce/2020/01/msg00022.html', 'https://www.openwall.com/lists/oss-security/2020/01/16/2', 'https://gitlab.freedesktop.org/slirp/libslirp/commit/ce131029d6d4a405cb7d3ac6716d03e58fb4a5d9', 'https://gitlab.freedesktop.org/slirp/libslirp/commit/82ebe9c370a0e2970fb5695aa19aa5214a6a1c80', 'https://lists.debian.org/debian-lts-announce/2020/01/msg00036.html', 'https://access.redhat.com/errata/RHSA-2020:0775', 'https://security.gentoo.org/glsa/202005-02', 'https://seclists.org/bugtraq/2020/Feb/0', 'https://usn.ubuntu.com/4283-1/', 'https://www.debian.org/security/2020/dsa-4616', 'https://gitlab.freedesktop.org/slirp/libslirp/commit/2655fffed7a9e765bcb4701dd876e9dab975f289', 'https://lists.debian.org/debian-lts-announce/2021/02/msg00012.html', 'http://lists.opensuse.org/opensuse-security-announce/2020-04/msg00007.html', 'https://access.redhat.com/errata/RHSA-2020:0348'}","{'https://gitlab.freedesktop.org/slirp/libslirp/commit/82ebe9c370a0e2970fb5695aa19aa5214a6a1c80', 'https://gitlab.freedesktop.org/slirp/libslirp/commit/2655fffed7a9e765bcb4701dd876e9dab975f289', 'https://gitlab.freedesktop.org/slirp/libslirp/commit/ce131029d6d4a405cb7d3ac6716d03e58fb4a5d9'}",gitlab
CVE-2020-6095,https://www.cvedetails.com/cve/CVE-2020-6095/,CWE-476,DoS,2020-03-27,2020-09-14,5.0,None,Remote,Low,Not required,None,None,Partial,An exploitable denial of service vulnerability exists in the GstRTSPAuth functionality of GStreamer/gst-rtsp-server 1.14.5. A specially crafted RTSP setup request can cause a null pointer deference resulting in denial-of-service. An attacker can send a malicious packet to trigger this vulnerability.,"{'https://gitlab.freedesktop.org/gstreamer/gst-rtsp-server/-/commit/44ccca3086dd81081d72ca0b21d0ecdde962fb1a', 'https://security.gentoo.org/glsa/202009-05', 'http://lists.opensuse.org/opensuse-security-announce/2020-04/msg00029.html', 'https://www.talosintelligence.com/vulnerability_reports/TALOS-2020-1018'}",{'https://gitlab.freedesktop.org/gstreamer/gst-rtsp-server/-/commit/44ccca3086dd81081d72ca0b21d0ecdde962fb1a'},gitlab
