vuln_id,cwe_id,score,chain,dataset,summary,published_date,chain_len,project,commit_href,commit_sha,patch
GHSA-xm2v-8rrw-w9pm,,,{'https://github.com/tensorflow/tensorflow/commit/2be2cdf3a123e231b16f766aa0e27d56b4606535'},osv,Division by 0 in `Conv2DBackpropInput` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/2be2cdf3a123e231b16f766aa0e27d56b4606535,2be2cdf3a123e231b16f766aa0e27d56b4606535,SINGLE
GHSA-x5cp-9pcf-pp3h,,,{'https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02'},osv,Denial of Service in Tensorflow nan,2020-09-25,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02,3cbb917b4714766030b28eba9fb41bb97ce9ee02,SINGLE
GHSA-h98h-8mxr-m8gx,,,{'https://github.com/tensorflow/tensorflow/commit/49f73c55d56edffebde4bca4a407ad69c1cae433'},osv,Out-of-bounds read in TensorFlow possibly causing disclosure of the contents of process memory. nan,2020-05-13,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/49f73c55d56edffebde4bca4a407ad69c1cae433,49f73c55d56edffebde4bca4a407ad69c1cae433,SINGLE
GHSA-grfp-q2mm-hfp6,,,{'https://github.com/ory/fosite/commit/cdee51ebe721bfc8acca0fd0b86b030ca70867bf'},osv,Redirect URL matching ignores character casing nan,2021-05-24,1,https://github.com/ory/fosite,https://github.com/ory/fosite/commit/cdee51ebe721bfc8acca0fd0b86b030ca70867bf,cdee51ebe721bfc8acca0fd0b86b030ca70867bf,SINGLE
GHSA-545v-42p7-98fq,,,{'https://github.com/tensorflow/tensorflow/commit/dcd7867de0fea4b72a2b34bd41eb74548dc23886'},osv,Heap out of bounds read in `MaxPoolGradWithArgmax` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/dcd7867de0fea4b72a2b34bd41eb74548dc23886,dcd7867de0fea4b72a2b34bd41eb74548dc23886,SINGLE
GHSA-23cm-x6j7-6hq3,,,{'https://github.com/matrix-org/matrix-js-sdk/commit/894c24880da0e1cc81818f51c0db80e3c9fb2be9'},osv,matrix-js-sdk can be tricked into disclosing E2EE room keys to a participating homeserver nan,2021-09-14,1,https://github.com/matrix-org/matrix-js-sdk,https://github.com/matrix-org/matrix-js-sdk/commit/894c24880da0e1cc81818f51c0db80e3c9fb2be9,894c24880da0e1cc81818f51c0db80e3c9fb2be9,SINGLE
GHSA-g5vf-v6wf-7w2r,,,{'https://github.com/google/tink/commit/93d839a5865b9d950dffdc9d0bc99b71280a8899'},osv,Ciphertext Malleability Issue in Tink Java nan,2020-10-16,1,https://github.com/google/tink,https://github.com/google/tink/commit/93d839a5865b9d950dffdc9d0bc99b71280a8899,93d839a5865b9d950dffdc9d0bc99b71280a8899,SINGLE
GHSA-h86j-6h6m-qjqw,,,{'https://github.com/livehelperchat/livehelperchat/commit/e7fe1aa6a087d4d21b2e8a0dadd2e08f42acbb57'},osv,Cross-Site Request Forgery in remdex/livehelperchat nan,2021-12-10,1,https://github.com/livehelperchat/livehelperchat,https://github.com/livehelperchat/livehelperchat/commit/e7fe1aa6a087d4d21b2e8a0dadd2e08f42acbb57,e7fe1aa6a087d4d21b2e8a0dadd2e08f42acbb57,SINGLE
GHSA-4hrh-9vmp-2jgg,,,{'https://github.com/tensorflow/tensorflow/commit/ba424dd8f16f7110eea526a8086f1a155f14f22b'},osv,Heap buffer overflow in `StringNGrams` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/ba424dd8f16f7110eea526a8086f1a155f14f22b,ba424dd8f16f7110eea526a8086f1a155f14f22b,SINGLE
GHSA-452g-f7fp-9jf7,,,{'https://github.com/tensorflow/tensorflow/commit/030af767d357d1b4088c4a25c72cb3906abac489'},osv,Type confusion during tensor casts lead to dereferencing null pointers nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/030af767d357d1b4088c4a25c72cb3906abac489,030af767d357d1b4088c4a25c72cb3906abac489,SINGLE
GHSA-p55x-7x9v-q8m4,,,{'https://github.com/miekg/dns/commit/43913f2f4fbd7dcff930b8a809e709591e4dd79e'},osv,Denial of Service in miekg-dns nan,2021-06-29,1,https://github.com/miekg/dns,https://github.com/miekg/dns/commit/43913f2f4fbd7dcff930b8a809e709591e4dd79e,43913f2f4fbd7dcff930b8a809e709591e4dd79e,SINGLE
GHSA-g7mq-rfj2-25wq,,,{'https://github.com/totaljs/framework4/commit/8a72d8c20f38bbcac031a76a51238aa528f68821'},osv,Code Injection in total4 nan,2021-12-10,1,https://github.com/totaljs/framework4,https://github.com/totaljs/framework4/commit/8a72d8c20f38bbcac031a76a51238aa528f68821,8a72d8c20f38bbcac031a76a51238aa528f68821,SINGLE
GHSA-h9px-9vqg-222h,,,{'https://github.com/tensorflow/tensorflow/commit/99085e8ff02c3763a0ec2263e44daec416f6a387'},osv,Heap OOB in `QuantizeAndDequantizeV3` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/99085e8ff02c3763a0ec2263e44daec416f6a387,99085e8ff02c3763a0ec2263e44daec416f6a387,SINGLE
GHSA-cpxc-67rc-c775,,,{'https://github.com/baserproject/basercms/commit/7f4b905b90954e394ec10dd35bad2a5dec505371'},osv,Cross Site Scripting in baserCMS nan,2020-08-28,1,https://github.com/baserproject/basercms,https://github.com/baserproject/basercms/commit/7f4b905b90954e394ec10dd35bad2a5dec505371,7f4b905b90954e394ec10dd35bad2a5dec505371,SINGLE
GHSA-2w67-526p-gm73,,,{'https://github.com/redis-store/redis-store/commit/e0c1398d54a9661c8c70267c3a925ba6b192142e'},osv,High severity vulnerability that affects redis-store nan,2017-12-06,1,https://github.com/redis-store/redis-store,https://github.com/redis-store/redis-store/commit/e0c1398d54a9661c8c70267c3a925ba6b192142e,e0c1398d54a9661c8c70267c3a925ba6b192142e,SINGLE
GHSA-769f-539v-f5jg,,,{'https://github.com/PrestaShop/gamification/commit/5044bda903a7ea9596c21faa2b9a42244763568c'},osv,PrestaShop gamification module ZIP archives were vulnerable from CVE-2017-9841 nan,2020-01-08,1,https://github.com/PrestaShop/gamification,https://github.com/PrestaShop/gamification/commit/5044bda903a7ea9596c21faa2b9a42244763568c,5044bda903a7ea9596c21faa2b9a42244763568c,SINGLE
GHSA-vxf6-w9mp-95hm,,,{'https://github.com/puppetlabs/puppet/commit/ab9150baa1b738467a33b01df1d90e076253fbbd'},osv,Low severity vulnerability that affects puppet nan,2017-10-24,1,https://github.com/puppetlabs/puppet,https://github.com/puppetlabs/puppet/commit/ab9150baa1b738467a33b01df1d90e076253fbbd,ab9150baa1b738467a33b01df1d90e076253fbbd,SINGLE
GHSA-vmqm-g3vh-847m,,,{'https://github.com/apache/xerces2-j/commit/992b5d9c24102ad20330d36c0a71162753a37449'},osv,Denial of service in Apache Xerces2 nan,2020-06-15,1,https://github.com/apache/xerces2-j,https://github.com/apache/xerces2-j/commit/992b5d9c24102ad20330d36c0a71162753a37449,992b5d9c24102ad20330d36c0a71162753a37449,SINGLE
GHSA-9m4x-8w29-r78g,,,{'https://github.com/transloadit/uppy/pull/2322/commits/dbf2f4f30aeaf3bcc5971bb867bb0b5984084828'},osv,Server-Side Request Forgery in @uppy/companion nan,2020-08-13,1,https://github.com/transloadit/uppy,https://github.com/transloadit/uppy/pull/2322/commits/dbf2f4f30aeaf3bcc5971bb867bb0b5984084828,dbf2f4f30aeaf3bcc5971bb867bb0b5984084828,SINGLE
GHSA-vw27-fwjf-5qxm,,,{'https://github.com/qutebrowser/qutebrowser/commit/8f46ba3f6dc7b18375f7aa63c48a1fe461190430'},osv,Arbitrary command execution on Windows via qutebrowserurl: URL handler nan,2021-10-22,1,https://github.com/qutebrowser/qutebrowser,https://github.com/qutebrowser/qutebrowser/commit/8f46ba3f6dc7b18375f7aa63c48a1fe461190430,8f46ba3f6dc7b18375f7aa63c48a1fe461190430,SINGLE
GHSA-c968-pq7h-7fxv,,,{'https://github.com/tensorflow/tensorflow/commit/311403edbc9816df80274bd1ea8b3c0c0f22c3fa'},osv,Division by 0 in `Conv3DBackprop*` nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/311403edbc9816df80274bd1ea8b3c0c0f22c3fa,311403edbc9816df80274bd1ea8b3c0c0f22c3fa,SINGLE
GHSA-f78f-353m-cf4j,,,"{'https://github.com/mithunsatheesh/node-rules/commit/100862223904bb6478fcc33b701c7dee11f7b832', 'https://github.com/mithunsatheesh/node-rules/commit/100862223904bb6478fcc33b701c7dee11f7b832,'}",osv,Code Injection in node-rules nan,2021-12-10,2,https://github.com/mithunsatheesh/node-rules,https://github.com/mithunsatheesh/node-rules/commit/100862223904bb6478fcc33b701c7dee11f7b832,100862223904bb6478fcc33b701c7dee11f7b832,MULTI
GHSA-w942-gw6m-p62c,,,{'https://github.com/tidwall/gjson/commit/f0ee9ebde4b619767ae4ac03e8e42addb530f6bc'},osv,Denial of service in GJSON nan,2021-06-23,1,https://github.com/tidwall/gjson,https://github.com/tidwall/gjson/commit/f0ee9ebde4b619767ae4ac03e8e42addb530f6bc,f0ee9ebde4b619767ae4ac03e8e42addb530f6bc,SINGLE
GHSA-qh4w-7pw3-p4rp,,,{'https://github.com/mongodb/bson-ruby/commit/976da329ff03ecdfca3030eb6efe3c85e6db9999'},osv,Potential denial of service in bson rubygem nan,2020-04-29,1,https://github.com/mongodb/bson-ruby,https://github.com/mongodb/bson-ruby/commit/976da329ff03ecdfca3030eb6efe3c85e6db9999,976da329ff03ecdfca3030eb6efe3c85e6db9999,SINGLE
GHSA-w3f4-3q6j-rh82,,,{'https://github.com/GulajavaMinistudio/jackson-databind/pull/92/commits/038b471e2efde2e8f96b4e0be958d3e5a1ff1d05'},osv,Deserialization of Untrusted Data in jackson-databind nan,2020-06-30,1,https://github.com/GulajavaMinistudio/jackson-databind,https://github.com/GulajavaMinistudio/jackson-databind/pull/92/commits/038b471e2efde2e8f96b4e0be958d3e5a1ff1d05,038b471e2efde2e8f96b4e0be958d3e5a1ff1d05,SINGLE
GHSA-xqfj-cr6q-pc8w,,,{'https://github.com/tensorflow/tensorflow/commit/1dc6a7ce6e0b3e27a7ae650bfc05b195ca793f88'},osv,Crash in `tf.transpose` with complex inputs nan,2021-05-21,1,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow/commit/1dc6a7ce6e0b3e27a7ae650bfc05b195ca793f88,1dc6a7ce6e0b3e27a7ae650bfc05b195ca793f88,SINGLE
GHSA-wppj-3pjr-9w79,,,{'https://github.com/crater-invoice/crater/commit/cdc913d16cf624aee852bc9163a7c6ffc8d1da9d'},osv,crater is vulnerable to Unrestricted Upload of File with Dangerous Type nan,2022-01-21,1,https://github.com/crater-invoice/crater,https://github.com/crater-invoice/crater/commit/cdc913d16cf624aee852bc9163a7c6ffc8d1da9d,cdc913d16cf624aee852bc9163a7c6ffc8d1da9d,SINGLE
GHSA-hpcf-8vf9-q4gj,,,{'https://github.com/jquery/jquery-ui/commit/9644e7bae9116edaf8d37c5b38cb32b892f10ff6'},osv,XSS in dialog closeText in jquery-ui nan,2017-10-24,1,https://github.com/jquery/jquery-ui,https://github.com/jquery/jquery-ui/commit/9644e7bae9116edaf8d37c5b38cb32b892f10ff6,9644e7bae9116edaf8d37c5b38cb32b892f10ff6,SINGLE
GHSA-qqxw-m5fj-f7gv,,,{'https://github.com/oauth2-proxy/oauth2_proxy/commit/a316f8a06f3c0ca2b5fc5fa18a91781b313607b2'},osv,"The pattern '/\domain.com' is not disallowed when redirecting, allowing for open redirect nan",2021-12-20,1,https://github.com/oauth2-proxy/oauth2_proxy,https://github.com/oauth2-proxy/oauth2_proxy/commit/a316f8a06f3c0ca2b5fc5fa18a91781b313607b2,a316f8a06f3c0ca2b5fc5fa18a91781b313607b2,SINGLE
GHSA-553q-hpvp-q8pc,,,{'https://github.com/snipe/snipe-it/commit/4612b9e711b3ff5d2bcddbec5b18866d25f8e34e'},osv,Server-Side Request Forgery in snipe/snipe-it nan,2021-12-10,1,https://github.com/snipe/snipe-it,https://github.com/snipe/snipe-it/commit/4612b9e711b3ff5d2bcddbec5b18866d25f8e34e,4612b9e711b3ff5d2bcddbec5b18866d25f8e34e,SINGLE
GHSA-4jqc-8m5r-9rpr,,,{'https://github.com/jonschlinkert/set-value/commit/7cf8073bb06bf0c15e08475f9f952823b4576452'},osv,Prototype Pollution in set-value nan,2021-09-13,1,https://github.com/jonschlinkert/set-value,https://github.com/jonschlinkert/set-value/commit/7cf8073bb06bf0c15e08475f9f952823b4576452,7cf8073bb06bf0c15e08475f9f952823b4576452,SINGLE
GHSA-cpqf-3c3r-c9g2,,,{'https://github.com/cobbler/cobbler/commit/d8f60bbf14a838c8c8a1dba98086b223e35fe70a'},osv,Cobbler before 3.3.0 allows log poisoning nan,2021-10-05,1,https://github.com/cobbler/cobbler,https://github.com/cobbler/cobbler/commit/d8f60bbf14a838c8c8a1dba98086b223e35fe70a,d8f60bbf14a838c8c8a1dba98086b223e35fe70a,SINGLE
GHSA-vh95-rmgr-6w4m,,,"{'https://github.com/substack/minimist/commit/63e7ed05aa4b1889ec2f3b196426db4500cbda94', 'https://github.com/substack/minimist/commit/38a4d1caead72ef99e824bb420a2528eec03d9ab'}",osv,Prototype Pollution in minimist nan,2020-04-03,2,https://github.com/substack/minimist,https://github.com/substack/minimist/commit/63e7ed05aa4b1889ec2f3b196426db4500cbda94,63e7ed05aa4b1889ec2f3b196426db4500cbda94,MULTI
GHSA-vh95-rmgr-6w4m,,,"{'https://github.com/substack/minimist/commit/63e7ed05aa4b1889ec2f3b196426db4500cbda94', 'https://github.com/substack/minimist/commit/38a4d1caead72ef99e824bb420a2528eec03d9ab'}",osv,Prototype Pollution in minimist nan,2020-04-03,2,https://github.com/substack/minimist,https://github.com/substack/minimist/commit/38a4d1caead72ef99e824bb420a2528eec03d9ab,38a4d1caead72ef99e824bb420a2528eec03d9ab,MULTI
GHSA-g6wq-qcwm-j5g2,,,{'https://github.com/faye/websocket-extensions-ruby/commit/aa156a439da681361ed6f53f1a8131892418838b'},osv,Regular Expression Denial of Service in websocket-extensions (RubyGem) nan,2020-06-05,1,https://github.com/faye/websocket-extensions-ruby,https://github.com/faye/websocket-extensions-ruby/commit/aa156a439da681361ed6f53f1a8131892418838b,aa156a439da681361ed6f53f1a8131892418838b,SINGLE
GHSA-3f8r-4qwm-r7jf,,,{'https://github.com/apache/trafficcontrol/commit/f780aff77a52d52a37b4d1cc3e8e801c0b557356'},osv,Improper Authentication in Apache Traffic Control nan,2021-05-18,1,https://github.com/apache/trafficcontrol,https://github.com/apache/trafficcontrol/commit/f780aff77a52d52a37b4d1cc3e8e801c0b557356,f780aff77a52d52a37b4d1cc3e8e801c0b557356,SINGLE
GHSA-73xv-w5gp-frxh,,,{'https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219'},osv,Logic error in Legion of the Bouncy Castle BC Java nan,2021-04-30,1,https://github.com/bcgit/bc-java,https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219,97578f9b7ed277e6ecb58834e85e3d18385a4219,SINGLE
GHSA-c36v-fmgq-m8hx,,,{'https://github.com/immerjs/immer/commit/fa671e55ee9bd42ae08cc239102b665a23958237'},osv,Prototype Pollution in immer nan,2021-09-07,1,https://github.com/immerjs/immer,https://github.com/immerjs/immer/commit/fa671e55ee9bd42ae08cc239102b665a23958237,fa671e55ee9bd42ae08cc239102b665a23958237,SINGLE
GHSA-vwhc-pww7-72x6,,,{'https://github.com/totaljs/framework/commit/887b0fa9e162ef7a2dd9cec20a5ca122726373b3'},osv,Code Injection in total.js nan,2021-09-01,1,https://github.com/totaljs/framework,https://github.com/totaljs/framework/commit/887b0fa9e162ef7a2dd9cec20a5ca122726373b3,887b0fa9e162ef7a2dd9cec20a5ca122726373b3,SINGLE
GHSA-959q-32g8-vvp7,,,{'https://github.com/keycloak/keycloak-documentation/pull/268/commits/a2b58aadee42af2c375b72e86dffc2cf23cc3770'},osv,Moderate severity vulnerability that affects org.keycloak:keycloak-core nan,2018-10-18,1,https://github.com/keycloak/keycloak-documentation,https://github.com/keycloak/keycloak-documentation/pull/268/commits/a2b58aadee42af2c375b72e86dffc2cf23cc3770,a2b58aadee42af2c375b72e86dffc2cf23cc3770,SINGLE
GHSA-h9ph-jcgh-gf69,,,{'https://github.com/LimeSurvey/LimeSurvey/commit/d56619a50cfd191bbffd0adb660638a5e438070d'},osv,Cross-site Scripting in Limesurvey nan,2021-10-12,1,https://github.com/LimeSurvey/LimeSurvey,https://github.com/LimeSurvey/LimeSurvey/commit/d56619a50cfd191bbffd0adb660638a5e438070d,d56619a50cfd191bbffd0adb660638a5e438070d,SINGLE
GHSA-fc42-h7q4-qp8h,,,{'https://github.com/ssnau/killport/commit/bec8e371f170a12e11cd222ffc7a6e1ae9942638'},osv,Command Injection in killport nan,2021-04-13,1,https://github.com/ssnau/killport,https://github.com/ssnau/killport/commit/bec8e371f170a12e11cd222ffc7a6e1ae9942638,bec8e371f170a12e11cd222ffc7a6e1ae9942638,SINGLE
GHSA-frxp-xxx8-hrg6,,,{'https://github.com/Bottelet/DaybydayCRM/commit/fe842ea5ede237443f1f45a99aeb839133115d8b'},osv,Missing Authorization in DayByDay CRM nan,2022-01-08,1,https://github.com/Bottelet/DaybydayCRM,https://github.com/Bottelet/DaybydayCRM/commit/fe842ea5ede237443f1f45a99aeb839133115d8b,fe842ea5ede237443f1f45a99aeb839133115d8b,SINGLE
GHSA-5pg7-v24c-9rp9,,,{'https://github.com/hlfshell/controlled-merge/commit/5a4b2e9ffe5a0be7f8843d4ab038599d3ae5f9d4'},osv,Prototype pollution in controlled-merge nan,2021-05-18,1,https://github.com/hlfshell/controlled-merge,https://github.com/hlfshell/controlled-merge/commit/5a4b2e9ffe5a0be7f8843d4ab038599d3ae5f9d4,5a4b2e9ffe5a0be7f8843d4ab038599d3ae5f9d4,SINGLE
GHSA-p43w-g3c5-g5mq,,,{'https://github.com/python-pillow/Pillow/commit/4853e522bddbec66022c0915b9a56255d0188bf9'},osv,Out of bounds read in Pillow nan,2021-03-29,1,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow/commit/4853e522bddbec66022c0915b9a56255d0188bf9,4853e522bddbec66022c0915b9a56255d0188bf9,SINGLE
GHSA-4fcw-pq4r-f4q7,,,{'https://github.com/spinnaker/orca/pull/3706/commits/4f3c07da8fcacd67bb1984aef11b2066f2c0d11c'},osv,Server-Side Request Forgery in Spinnaker Orca nan,2021-05-07,1,https://github.com/spinnaker/orca,https://github.com/spinnaker/orca/pull/3706/commits/4f3c07da8fcacd67bb1984aef11b2066f2c0d11c,4f3c07da8fcacd67bb1984aef11b2066f2c0d11c,SINGLE
